shearDisp angle(XZ)(deg) contactForce(N)
2.00039 0 2023.53
2.00039 0 0
2.00039 10 2023.53
2.00039 10 38.1347
2.00039 20 38.1347
2.00039 20 56.6782
2.00039 30 56.6782
2.00039 30 3.73871
2.00039 40 3.73871
2.00039 40 7.68458
2.00039 50 7.68458
2.00039 50 1140.56
2.00039 60 1140.56
2.00039 60 0.654434
2.00039 70 0.654434
2.00039 70 3.46666
2.00039 80 3.46666
2.00039 80 2214.24
2.00039 90 2214.24
2.00039 90 964.55
2.00039 100 964.55
2.00039 100 7.7351
2.00039 110 7.7351
2.00039 110 0
2.00039 120 0
2.00039 120 2913.85
2.00039 130 2913.85
2.00039 130 1.25925
2.00039 140 1.25925
2.00039 140 8.35335
2.00039 150 8.35335
2.00039 150 21.1625
2.00039 160 21.1625
2.00039 160 14.7236
2.00039 170 14.7236
2.00039 170 2137.92
2.00039 180 2137.92
2.00039 180 0
