shearDisp angle(XZ)(deg) contactForce(N)
0.0993094 0 3368.26
0.0993094 10 3368.26
0.0993094 10 65.9743
0.0993094 20 65.9743
0.0993094 20 51.9646
0.0993094 30 51.9646
0.0993094 30 16.9506
0.0993094 40 16.9506
0.0993094 40 37.7517
0.0993094 50 37.7517
0.0993094 50 3008.19
0.0993094 60 3008.19
0.0993094 60 10.8845
0.0993094 70 10.8845
0.0993094 70 4.52089
0.0993094 80 4.52089
0.0993094 80 763.346
0.0993094 90 763.346
0.0993094 90 2262.87
0.0993094 100 2262.87
0.0993094 100 7.80506
0.0993094 110 7.80506
0.0993094 110 14.4905
0.0993094 120 14.4905
0.0993094 120 840.071
0.0993094 130 840.071
0.0993094 130 1.11277
0.0993094 140 1.11277
0.0993094 140 13.5555
0.0993094 150 13.5555
0.0993094 150 3.16246
0.0993094 160 3.16246
0.0993094 160 23.9551
0.0993094 170 23.9551
0.0993094 170 3606.65
0.0993094 180 3606.65
