shearDisp angle(XZ)(deg) contactForce(N)
-7.20396e-07 0 1113.09
-7.20396e-07 10 1113.09
-7.20396e-07 10 29.5905
-7.20396e-07 20 29.5905
-7.20396e-07 20 38.0151
-7.20396e-07 30 38.0151
-7.20396e-07 30 2.8125
-7.20396e-07 40 2.8125
-7.20396e-07 40 22.3501
-7.20396e-07 50 22.3501
-7.20396e-07 50 1784.83
-7.20396e-07 60 1784.83
-7.20396e-07 60 1.19753
-7.20396e-07 70 1.19753
-7.20396e-07 70 4.38755
-7.20396e-07 80 4.38755
-7.20396e-07 80 1136.4
-7.20396e-07 90 1136.4
-7.20396e-07 90 1669.03
-7.20396e-07 100 1669.03
-7.20396e-07 100 0
-7.20396e-07 110 0
-7.20396e-07 110 5.52848
-7.20396e-07 120 5.52848
-7.20396e-07 120 1686.9
-7.20396e-07 130 1686.9
-7.20396e-07 130 0
-7.20396e-07 140 0
-7.20396e-07 140 7.93574
-7.20396e-07 150 7.93574
-7.20396e-07 150 7.73495
-7.20396e-07 160 7.73495
-7.20396e-07 160 16.8289
-7.20396e-07 170 16.8289
-7.20396e-07 170 621.263
-7.20396e-07 180 621.263
