time(s) shearinDisp topPlateVerticalDisp forwardSphereForce(N) rearSphereForce(N) totalShearForce(N) shearStress(kPa) numManifolds numContacts averageCoordinationNum
6.700000 0.670000 0.176693 164.952377 0.000000 164.952377 46.337540 15368 11763 10.876560
6.810000 0.681000 0.177994 163.993835 0.000000 163.993835 46.076817 15366 11814 10.923717
6.910000 0.691000 0.179356 168.124847 0.000000 168.124847 47.245457 15363 11828 10.936662
7.000000 0.700000 0.180420 166.470444 0.000000 166.470444 46.787647 15358 11789 10.900601
7.100000 0.710000 0.181602 157.369324 0.000000 157.369324 44.237179 15359 11763 10.876560
7.200000 0.720000 0.182701 169.995132 0.000000 169.995132 47.794403 15359 11715 10.832177
7.310000 0.731000 0.183773 153.258408 0.000000 153.258408 43.096844 15359 11806 10.916320
7.410000 0.741000 0.184860 129.640732 0.000000 129.640732 36.461617 15364 11816 10.925567
7.500000 0.750000 0.185760 144.779388 0.000000 144.779388 40.725567 15361 11779 10.891355
7.600000 0.760000 0.186775 154.945679 0.000000 154.945679 43.592640 15359 11762 10.875636
7.700000 0.770000 0.187649 122.056000 0.000000 122.056000 34.345211 15359 11745 10.859917
7.810000 0.781000 0.188622 163.550430 0.000000 163.550430 46.029831 15358 11814 10.923717
7.910000 0.791000 0.189510 122.240524 0.000000 122.240524 34.409328 15351 11792 10.903375
