time,shearingDisp,s/d,25kPa,50kPa,100kPa,150kPa,200kPa,300kPa,500kPa
36.5,3.65603,0.9140075,536.566,724.69,981.406,1231.03,1434.95,1813.71,2369.76
36.61,3.66723,0.9168075,538.448,727.552,985.115,1235.5,1440.66,1820.05,2378.54
36.7,3.67629,0.9190725,539.844,729.922,988.517,1239.37,1446.53,1825.96,2386.13
36.8,3.68628,0.92157,541.137,732.334,991.797,1243.99,1453.4,1832.5,2394.69
36.91,3.6975,0.924375,542.46,735.018,995.493,1249.73,1459.37,1839.82,2404.68
37,3.70687,0.9267175,544.05,737.223,998.976,1254.69,1463.18,1845.47,2414.05
37.11,3.71828,0.92957,546.561,739.965,1003.23,1259.92,1467.84,1852.88,2425.29
37.2,3.7275,0.931875,548.475,742.037,1006.09,1263.51,1472.36,1859.22,2434.93
37.3,3.73771,0.9344275,550.651,744.497,1009.02,1267.41,1477.2,1865.96,2445.35
37.41,3.74885,0.9372125,552.759,747.542,1012.62,1272.23,1481.99,1872.79,2454.99
37.5,3.7578,0.93945,554.292,750.432,1016.23,1275.75,1486.1,1878.49,2462.71
37.61,3.76882,0.942205,556.287,753.562,1020.07,1280.83,1492.56,1886.27,2472.61
37.7,3.77801,0.9445025,558.098,755.745,1023.71,1284.96,1497.5,1891.82,2481.08
37.8,3.78834,0.947085,559.74,758.329,1027.72,1289.35,1502.66,1897.38,2490.81
37.91,3.79987,0.9499675,561.593,761.289,1031.78,1294.23,1507.07,1903.65,2502.96
38,3.80917,0.9522925,563.479,763.479,1034.66,1298.15,1512.07,1908.63,2512.16
38.11,3.82038,0.955095,566.157,766.406,1038.58,1303.24,1517.02,1915.22,2523.19
38.2,3.82952,0.95738,568.219,769.156,1041.76,1307.77,1520.66,1920.31,2531.92
38.3,3.83956,0.95989,570.265,772.305,1045.4,1312.66,1524.96,1925.75,2539.24
38.41,3.8506,0.96265,572.223,775.269,1049.57,1317.75,1530.54,1932.89,2547.89
38.5,3.85982,0.964955,573.6,777.698,1053.37,1322.3,1535.29,1938.22,2555.58
38.61,3.87115,0.9677875,575.417,780.62,1057.86,1326.69,1540.56,1944.37,2564.69
38.7,3.88045,0.9701125,576.851,783.551,1061.02,1329.89,1544.58,1949.99,2571.54
38.8,3.89061,0.9726525,578.651,786.948,1064.94,1333.52,1549.7,1956.46,2579.62
38.91,3.902,0.9755,581.182,790.351,1069.01,1338.3,1555.58,1963.31,2589.57
39,3.91119,0.9777975,583.024,793.219,1072.19,1342.19,1560.1,1969.51,2597.49
39.11,3.92216,0.98054,585.145,797.191,1076.02,1347.45,1565.86,1976.93,2607.61
39.2,3.93117,0.9827925,587.153,800.207,1079.19,1351.56,1569.96,1982.8,2615.56
39.3,3.94143,0.9853575,589.257,803.363,1083.79,1355.9,1574.64,1989.91,2624.3
39.41,3.95278,0.988195,591.22,806.69,1088.77,1360.33,1579.98,1996.84,2633.56
39.5,3.96198,0.990495,592.953,809.397,1092.1,1363.68,1584.15,2002.44,2632.64
39.61,3.9735,0.993375,595.267,812.546,1096.47,1368.33,1589.53,2007.9,2639.28
39.7,3.98291,0.9957275,597.205,815.451,1100.32,1373.02,1594.36,2012.75,2640.03
39.8,3.99305,0.9982625,599.824,818.471,1104.49,1378.58,1600.49,2017.22,2631.37
39.91,4.00319,1.0007975,602.702,821.954,1108.83,1384.76,1605.1,2017.4,2632.39
40,4.00613,1.0015325,574.432,782.108,1055.06,1347.55,1546.85,1951.5,2572.5
40.11,4.00557,1.0013925,576.685,785.231,1056.5,1322.46,1538.17,1944.2,2559.27
40.2,4.00575,1.0014375,578.035,786.371,1057.05,1322.99,1538.49,1944.49,2559.69
40.3,4.00654,1.001635,579.088,787.702,1058.52,1324.5,1538.91,1944.85,2560
