s/d,stress(rol=0),dilation(rol=0),rotation(rol=0),stress(rol=0.0025),dilation(rol=0.0025),rotation(rol=0.0025),stress(rol=0.1),dilation(rol=0.1),rotation(rol=0.1)
0.7055995,22.15727,0.192619,6557.33,24.080869,0.192307,897.118,34.755938,0.191528,197.657
0.708154,21.528236,0.193245,6576.93,23.849271,0.19297,901.549,33.962988,0.192368,198.299
0.7107415,20.510986,0.193771,6596.7,22.972743,0.193726,906.114,33.598751,0.193134,199.018
0.71354875,19.847435,0.194462,6617.41,22.458725,0.194324,909.987,33.855449,0.193863,199.712
0.71609075,19.36137,0.195087,6636.61,21.721738,0.194916,913.673,34.111014,0.194191,200.534
0.7183615,19.12213,0.195599,6654.27,20.303504,0.195358,916.632,33.285799,0.194572,201.288
0.72088725,18.823329,0.196053,6674.55,19.552237,0.195892,919.842,31.813607,0.19503,202.124
0.723431,18.315414,0.196465,6694.17,18.453986,0.196365,923.047,30.589879,0.19556,203.058
0.726226,17.793797,0.196999,6715.27,17.428096,0.196884,926.362,29.401013,0.196133,203.937
0.72876125,17.385693,0.1973,6734.22,16.731376,0.197197,929.402,28.69326,0.196644,204.669
0.731061,16.808838,0.197647,6752.06,17.092115,0.197514,932.743,28.354468,0.197067,205.262
0.7336115,16.221045,0.197887,6773.03,16.975343,0.197865,936.362,28.422926,0.197414,205.891
0.73616425,15.607443,0.198112,6794.31,17.171229,0.198078,940.257,28.353841,0.197613,206.556
0.7389995,14.61532,0.198292,6817.48,16.983857,0.198261,944.527,27.940699,0.197605,207.605
0.74157375,13.750558,0.198605,6838.51,16.069669,0.198498,947.935,25.973498,0.197693,208.449
0.74388075,13.083388,0.198647,6857.38,15.270599,0.198635,950.248,24.727105,0.19788,209.14
0.74648475,11.872917,0.198788,6877.82,14.270162,0.19878,953.475,23.317786,0.198071,209.763
0.749004,11.649128,0.198921,6897.42,13.649492,0.198799,957.242,22.411906,0.198223,210.416
0.751784,11.29978,0.198975,6918.99,12.02169,0.198696,962.138,21.900867,0.198391,211.176
0.7542945,11.179781,0.19894,6937.91,10.223959,0.198711,966.559,21.591764,0.198406,211.834
