xCoord,yCoord,zCoord,Deformation
-23.8179,-8.4993,101.324,0.00594234
22.1586,16.9468,64.8287,0.0542581
26.5932,-10.2989,77.7282,-0.0191388
13.5121,22.118,4.25791,0.0547516
-18.0878,-17.9731,87.7529,0.111065
-6.34068,25.4688,-0.472663,-0.0154183
25.3839,6.45527,-0.845111,0.026273
13.8053,23.0803,35.619,-0.0982708
-16.2001,-21.8348,45.1739,-0.10798
14.091,-23.7477,45.2902,0.0851564
26.8146,-5.64734,22.2759,-0.0969335
5.02904,-25.7861,19.0331,-0.0214943
11.718,22.3553,96.9439,-0.000552893
-27.1189,3.26838,65.0362,0.0784154
-4.65057,26.1542,25.8663,0.0109746
-27.2506,-7.42921,63.8509,0.0461245
-11.1052,24.3909,63.9921,-0.000712872
-27.51,-5.49438,51.7516,-0.0289721
27.6312,-2.8697,79.1903,-0.0320492
26.6812,-5.19369,86.2704,-0.0958215
24.6872,-12.0282,43.7264,-0.0353087
24.4863,11.998,60.7743,-0.067306
22.7049,16.185,13.727,0.105672
21.9945,17.0815,53.029,0.123746
27.157,-6.11492,80.5852,0.00675344
-0.652063,-26.7126,28.9602,0.102083
-17.3262,20.288,5.85451,-0.0469084
-18.0224,20.4613,79.4526,0.196206
-25.2782,-11.2468,14.4456,-0.0185719
-13.9766,23.3005,20.2423,0.0296202
-7.08973,24.7743,5.06912,-0.0027374
27.6222,-2.31257,88.58,0.0758445
20.0944,-17.1383,16.4507,0.109089
2.12022,-25.1503,-8.35772,-0.0158293
-8.98986,23.7722,-1.86089,0.0097338
-26.0611,-7.2005,55.4149,0.0591516
-23.4579,12.8101,50.3294,0.0715127
5.14286,-24.8195,-6.20036,0.00482106
-20.0867,-18.1425,49.3435,0.0420561
26.5886,8.67885,84.8406,-0.0920622
-11.6714,-24.1554,57.7626,0.0344617
17.1502,-20.2956,77.6381,-0.039883
12.8794,-22.5572,0.916604,0.00988817
-10.3754,-23.9111,15.5701,0.08974
-6.60529,26.6755,43.6477,0.0178676
-4.48858,25.7119,79.907,0.0231841
