Time(s),Extension(mm),ThinMembraneLoad(N),ThickMembraneLoad(N)
15,15,3.30015,9.86566
15.1,15.10012,3.32259,9.9055
15.2,15.20006,3.3326,9.95995
15.3,15.3,3.34711,9.99947
15.4,15.4,3.37485,10.04012
15.5,15.5,3.38462,10.09442
15.6,15.60006,3.41407,10.14302
15.7,15.7,3.41388,10.17174
15.8,15.8,3.43112,10.22927
15.9,15.90006,3.4637,10.25828
16,16.00006,3.47015,10.32307
16.1,16.1,3.48972,10.35736
16.2,16.19994,3.50165,10.40484
16.3,16.30012,3.50874,10.44997
16.4,16.40006,3.53602,10.48548
16.5,16.50006,3.5455,10.53983
16.6,16.60006,3.56475,10.58452
16.7,16.7,3.57117,10.62267
16.8,16.80012,3.58329,10.67843
16.9,16.90006,3.60165,10.7091
17,17,3.6206,10.74618
17.1,17.1,3.62722,10.80571
17.2,17.2,3.65444,10.84413
17.3,17.30006,3.64893,10.88919
17.4,17.40006,3.67074,10.92832
17.5,17.5,3.67734,10.96649
17.6,17.60006,3.68886,11.02673
17.7,17.70006,3.714,11.05234
17.8,17.80006,3.71877,11.10313
17.9,17.89993,3.73669,11.13976
18,18,3.76251,11.18035
18.1,18.10006,3.77262,11.23912
18.2,18.20006,3.79578,11.2603
18.3,18.30006,3.80175,11.31491
18.4,18.4,3.81713,11.35177
18.5,18.50006,3.83738,11.394
18.6,18.60006,3.84943,11.44015
18.7,18.7,3.86831,11.47926
18.8,18.8,3.88497,11.51289
18.9,18.90006,3.88863,11.57332
19,19.00006,3.908,11.58788
19.1,19.10006,3.91593,11.64667
19.2,19.2,3.94196,11.67891
19.3,19.30006,3.95137,11.72809
19.4,19.4,3.92742,11.78001
19.5,19.50006,3.95836,11.80088
19.6,19.60006,3.96638,11.84633
19.7,19.69993,3.98698,11.89257
19.8,19.80012,4.00897,11.93316
19.9,19.90006,4.01611,11.97134
20,20.00006,4.03056,12.00707
20.1,20.1,4.05164,12.05248
20.2,20.20006,4.0572,12.10006
20.3,20.3,4.08669,12.13362
20.4,20.40006,4.08787,12.17156
20.5,20.5,4.11438,12.21598
20.6,20.6,4.11566,12.24803
20.7,20.70006,4.13284,12.29634
20.8,20.80006,4.15376,12.32156
20.9,20.9,4.16292,12.37504
21,21,4.17903,12.40677
21.1,21.10006,4.19473,12.45404
21.2,21.20006,4.20439,12.48691
21.3,21.30006,4.22234,12.52561
21.4,21.4,4.22746,12.56714
21.5,21.50006,4.24574,12.60482
21.6,21.60006,4.25925,12.63318
21.7,21.7,4.255,12.6784
21.8,21.8,4.27143,12.72028
21.9,21.89993,4.28181,12.75219
22,22.00012,4.28796,12.8
22.1,22.10012,4.32582,12.8257
22.2,22.2,4.32294,12.88288
22.3,22.3,4.34383,12.90852
22.4,22.4,4.35521,12.95438
22.5,22.50006,4.35946,12.99234
22.6,22.60006,4.38834,13.02731
22.7,22.7,4.40001,13.06362
22.8,22.80012,4.38793,13.10057
22.9,22.90006,4.41825,13.13771
23,23.00006,4.42574,13.18556
23.1,23.1,4.44069,13.21471
23.2,23.2,4.45064,13.24157
23.3,23.30006,4.46775,13.28362
23.4,23.4,4.48996,13.31987
23.5,23.5,4.48755,13.35701
23.6,23.6,4.50041,13.39977
23.7,23.70012,4.5261,13.41521
23.8,23.80006,4.53136,13.4705
23.9,23.9,4.55516,13.50122
24,23.99993,4.54918,13.54296
24.1,24.10012,4.57269,13.58046
24.2,24.2,4.58922,13.61295
24.3,24.30006,4.59267,13.6506
24.4,24.4,4.60912,13.69151
24.5,24.5,4.61224,13.73926
24.6,24.60012,4.63035,13.76513
24.7,24.70006,4.65259,13.78891
24.8,24.8,4.66078,13.82796
24.9,24.9,4.66865,13.8668
25,25.00006,4.69017,13.89667
25.1,25.10006,4.67854,13.93893
25.2,25.20006,4.70683,13.95854
25.3,25.3,4.70932,14.00469
25.4,25.40012,4.70453,14.04419
25.5,25.50006,4.72105,14.05432
25.6,25.6,4.72879,14.10559
25.7,25.69993,4.74963,14.13379
25.8,25.80006,4.76673,14.17243
25.9,25.90006,4.77369,14.19782
26,26.00006,4.79763,14.22348
26.1,26.10006,4.79812,14.27596
26.2,26.19999,4.80914,14.29308
26.3,26.30012,4.83729,14.31942
26.4,26.40006,4.83798,14.36449
26.5,26.50006,4.85394,14.39313
26.6,26.59993,4.85886,14.42707
26.7,26.7,4.87399,14.46518
26.8,26.80006,4.88241,14.48032
26.9,26.90006,4.87113,14.53265
27,27,4.89955,14.54883
27.1,27.1,4.89693,14.59054
27.2,27.2,4.92434,14.61539
27.3,27.3,4.93983,14.64134
27.4,27.39993,4.95044,14.68003
27.5,27.5,4.95851,14.70838
27.6,27.60006,4.97811,14.74173
27.7,27.7,4.98097,14.76842
27.8,27.8,4.99616,14.78513
27.9,27.9,5.01014,14.81829
28,28,5.02133,14.85045
28.1,28.10012,5.04091,14.87496
28.2,28.2,5.03603,14.90563
28.3,28.30006,5.05583,14.91155
28.4,28.4,5.06627,14.94229
28.5,28.5,5.07803,14.97021
28.6,28.6,5.09924,14.98712
28.7,28.7,5.09485,15.0166
28.8,28.80006,5.10949,15.0242
28.9,28.90006,5.1252,15.03981
29,29,5.13098,15.06421
29.1,29.09993,5.14915,15.08341
29.2,29.20006,5.15274,15.09203
29.3,29.30006,5.16975,15.10347
29.4,29.40006,5.17582,15.10338
29.5,29.5,5.17919,15.12116
29.6,29.59999,5.19841,15.13645
29.7,29.7,5.20047,15.13999
29.8,29.80006,5.189,15.14954
29.9,29.90006,5.22904,15.14912
30,30.00006,5.22178,15.15404
30.1,30.10006,5.24527,15.16866
30.2,30.2,5.25301,15.18938
30.3,30.29994,5.26639,15.20526
30.4,30.4,5.27786,15.19556
30.5,30.49999,5.29326,15.20537
30.6,30.6,5.30113,15.23118
30.7,30.70006,5.31048,15.2234
30.8,30.8,5.31618,15.23806
30.9,30.90006,5.33581,15.23327
31,31.00006,5.34883,15.25442
31.1,31.10006,5.35274,15.27692
31.2,31.20006,5.36878,15.28819
31.3,31.29999,5.36835,15.31362
31.4,31.39999,5.3868,15.3472
31.5,31.50006,5.39793,15.3681
31.6,31.60006,5.40276,15.40883
31.7,31.69999,5.41542,15.41493
31.8,31.79993,5.39516,15.47274
31.9,31.90006,5.40882,15.48953
32,31.99999,5.41457,15.51915
32.1,32.1,5.43029,15.55345
32.2,32.19993,5.44946,15.58656
32.3,32.30006,5.45502,15.61536
32.4,32.40006,5.46746,15.64608
32.5,32.50006,5.485,15.66518
32.6,32.60006,5.51144,15.71451
32.7,32.7,5.50752,15.73285
32.8,32.80006,5.51437,15.75437
32.9,32.89999,5.52108,15.80075
33,33,5.55052,15.81327
33.1,33.09999,5.54566,15.85806
33.2,33.20012,5.55935,15.87485
33.3,33.30006,5.57335,15.91024
33.4,33.4,5.58713,15.94316
33.5,33.50006,5.59203,15.95803
33.6,33.60006,5.60113,15.99404
33.7,33.70006,5.60623,16.02171
33.8,33.79999,5.62541,16.04348
33.9,33.89993,5.6206,16.08082
34,34,5.63128,16.10084
34.1,34.10006,5.65497,16.13895
34.2,34.20006,5.64799,16.17158
34.3,34.3,5.66892,16.19034
34.4,34.39999,5.66756,16.21572
34.5,34.50006,5.67229,16.25651
34.6,34.60006,5.69667,16.27773
34.7,34.69993,5.60304,16.32179
34.8,34.80006,5.65279,16.3279
